Doi,Author,Title,PubDate,Journal,Country,ISO_3,YCoordinate,XCoordinate,SamplingStartYear,SamplingEndYear,Species,Pathogen,Species,Strain,ControlStrain,SampleType,Sal_Prevalence,No_sample,No_Isolate,Antimicrobial,AntimicrobialCompound,AntibioticClass,Percent_resistant,Percent_intermediate,Percent_susceptible,Perc_res_inc_intermediate,Perc_res_excl_intermediate,ASTMethod,No_isolates_resistant,No_isolates_intermediate,No_isolates_susceptible,MDR_percentage,Laboratory_guidelines,Conc.ofAMusedforsusceptibilitytest(µg/ µg/ml),SusceptibleBreakpoint,Notes
10.1186/s13104-019-4068-8,"Langata, Lydia, et al.2019","Antimicrobial resistance genes in Salmonella and Escherichia coli isolates from Poultry droppings in Nairobi, Kenya",2019,BMC research notes,Kenya,KEN,-1.25,36.9,2017,2017,Chicken,Salmonella,,,E.coli ATCC 25922,Feacal,12,150,18,Gentamycin,GEN,Aminoglycosides,0,,,,,Disk diffusion,0,0,18,,CLSI ,10,,
10.1186/s13104-019-4068-8,"Langata, Lydia, et al.2019","Antimicrobial resistance genes in Salmonella and Escherichia coli isolates from Poultry droppings in Nairobi, Kenya",2019,BMC research notes,Kenya,KEN,-1.25,36.9,2017,2017,Chicken,Salmonella,,,E.coli ATCC 25922,Feacal,12,150,18,Streptomycin,STR,Aminoglycosides,6,,,,,Disk diffusion,1,5,12,,CLSI ,10,,
10.1186/s13104-019-4068-8,"Langata, Lydia, et al.2019","Antimicrobial resistance genes in Salmonella and Escherichia coli isolates from Poultry droppings in Nairobi, Kenya",2019,BMC research notes,Kenya,KEN,-1.25,36.9,2017,2017,Chicken,Salmonella,,,E.coli ATCC 25922,Feacal,12,150,18,Amoxicillin,AMX,Penicillin ,50,,,,,Disk diffusion,9,7,2,,CLSI ,30,<=13,
10.1186/s13104-019-4068-8,"Langata, Lydia, et al.2019","Antimicrobial resistance genes in Salmonella and Escherichia coli isolates from Poultry droppings in Nairobi, Kenya",2019,BMC research notes,Kenya,KEN,-1.25,36.9,2017,2017,Chicken,Salmonella,,,E.coli ATCC 25922,Feacal,12,150,18,Nalidixic acid,NAL,Fluoroquinolones,0,,,,,Disk diffusion,0,1,17,,CLSI ,30,<=13,
10.1186/s13104-019-4068-8,"Langata, Lydia, et al.2019","Antimicrobial resistance genes in Salmonella and Escherichia coli isolates from Poultry droppings in Nairobi, Kenya",2019,BMC research notes,Kenya,KEN,-1.25,36.9,2017,2017,Chicken,Salmonella,,,E.coli ATCC 25922,Feacal,12,150,18,Ciprofloxacin,CIP,Fluoroquinolones,0,,,,,Disk diffusion,0,0,18,,CLSI ,30,<=15,
10.1186/s13104-019-4068-8,"Langata, Lydia, et al.2019","Antimicrobial resistance genes in Salmonella and Escherichia coli isolates from Poultry droppings in Nairobi, Kenya",2019,BMC research notes,Kenya,KEN,-1.25,36.9,2017,2017,Chicken,Salmonella,,,E.coli ATCC 25922,Feacal,12,150,18,Chloromphenicols,CHL,Amphenicols,0,,,,,Disk diffusion,0,0,18,,CLSI ,30,<=12,
10.1186/s13104-019-4068-8,"Langata, Lydia, et al.2019","Antimicrobial resistance genes in Salmonella and Escherichia coli isolates from Poultry droppings in Nairobi, Kenya",2019,BMC research notes,Kenya,KEN,-1.25,36.9,2017,2017,Chicken,Salmonella,,,E.coli ATCC 25922,Feacal,12,150,18,Co-trimoxazole (sulfamethazole-trimethoprim),COT,Sulfonamides,28,,,,,Disk diffusion,5,5,8,,CLSI ,25,<=10,
10.1186/s13104-019-4068-8,"Langata, Lydia, et al.2019","Antimicrobial resistance genes in Salmonella and Escherichia coli isolates from Poultry droppings in Nairobi, Kenya",2019,BMC research notes,Kenya,KEN,-1.25,36.9,2017,2017,Chicken,Salmonella,,,E.coli ATCC 25922,Feacal,12,150,18,Tetracycline,TET,Tetracycline,11,,,,,Disk diffusion,2,5,11,,CLSI ,30,<=11,
PMID: 23057283,Wesonga et al.2010,"Antibiotic Resistant Salmonella and E.coli isolated from indiginous Gallus domesticus in Nairobi, Kenya.",2010,East African Medical Journal,Kenya,KEN,-1.2921,36.8219,,,Chicken,Salmonella,S.Enterica,typhimurium ,E.coli ATCC 25922,Rectal ,12.5,,13,Augmentin,AUG,Penicillin ,7.7,,,,,Agar diffusion,1,2,10,,NCCLS,30,,
PMID: 23057283,Wesonga et al.2010,"Antibiotic Resistant Salmonella and E.coli isolated from indiginous Gallus domesticus in Nairobi, Kenya.",2010,East African Medical Journal,Kenya,KEN,-1.2921,36.8219,,,Chicken,Salmonella,S.Enterica,typhimurium ,E.coli ATCC 25922,Rectal ,12.5,,13,Ampicillin,AMP,Penicillin ,30.8,,,,,Agar diffusion,4,0,9,,NCCLS,10,,
